chain,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
iteration_duplicate,0.7,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iteration_duplicate -> extension_append_boundary_side_first,0.6875,0.875,0.625,0.625,0.5,0.0,0.875,0.625,1.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5
iteration_duplicate -> extension_append_boundary_side_last,0.9,1.0,1.0,0.6667,1.0,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iteration_duplicate -> partitioning_by_offset_offset_0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iteration_duplicate -> partitioning_by_offset_offset_1,0.7,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iteration_duplicate -> permutation_reverse,0.8125,1.0,0.975,0.775,0.6,0.2,1.0,0.975,1.0,0.6,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0
iteration_duplicate -> reindexing_rotate_k_-1,0.4875,0.5,0.9583,0.9583,0.0,0.0,0.5,0.9583,0.6667,0.0,0.6667,0.0,1.0,0.6667,0.3333,0.6667,0.3333,0.6667,0.6667,1.0,1.0,1.0,1.0,0.6667,0.3333,0.6667,0.3333,0.6667,0.6667,1.0,1.0,1.0,1.0
iteration_duplicate -> reindexing_rotate_k_1,0.58,0.55,0.8,0.4,0.8,0.4,0.55,0.8,0.6,0.8,0.6,0.8,1.0,0.6,0.4,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.6,0.4,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8
partitioning_by_offset_offset_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partitioning_by_offset_offset_0 -> extension_append_boundary_side_last,0.4833,0.4583,0.6667,0.6667,0.3333,0.0,0.4583,0.6667,0.3333,0.3333,0.3333,0.3333,1.0,0.3333,0.3333,0.6667,0.3333,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.3333,0.3333,0.6667,0.3333,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667
partitioning_by_offset_offset_0 -> iteration_duplicate,0.6438,0.8125,0.5625,0.5625,0.5,0.0,0.8125,0.5625,0.0,0.5,0.0,0.5,1.0,0.75,1.0,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.75
partitioning_by_offset_offset_0 -> permutation_reverse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partitioning_by_offset_offset_1 -> extension_append_boundary_side_first,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partitioning_by_offset_offset_1 -> iteration_duplicate,0.875,0.6875,1.0,1.0,1.0,0.0,0.6875,1.0,0.0,1.0,0.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
partitioning_by_offset_offset_1 -> permutation_reverse,0.7,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
partitioning_by_offset_offset_1 -> reindexing_rotate_k_-1,0.6167,0.5417,1.0,0.6667,0.6667,0.3333,0.5417,1.0,0.3333,0.6667,0.3333,0.6667,1.0,0.6667,0.3333,0.3333,1.0,0.3333,1.0,1.0,1.0,1.0,1.0,0.6667,0.3333,0.3333,1.0,0.3333,1.0,1.0,1.0,1.0,1.0
partitioning_by_offset_offset_1 -> reindexing_rotate_k_1,0.625,0.625,0.25,0.25,1.0,0.0,0.625,0.25,0.0,1.0,0.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0
permutation_reverse,0.5062,0.6562,0.5625,0.3125,0.5,0.25,0.6562,0.5625,0.75,0.5,0.75,0.5,1.0,1.0,0.5,0.5,0.75,0.75,0.5,0.75,0.75,0.25,0.5,1.0,0.5,0.5,0.75,0.75,0.5,0.75,0.75,0.25,0.5
permutation_reverse -> extension_append_boundary_side_last,0.5875,0.625,0.625,0.625,0.5,0.0,0.625,0.625,0.75,0.5,0.75,0.5,1.0,0.25,0.5,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.75,0.25,0.5,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.75
permutation_reverse -> iteration_duplicate,0.725,0.6875,1.0,1.0,0.5,0.0,0.6875,1.0,0.0,0.5,0.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0
permutation_reverse -> partitioning_by_offset_offset_0,0.55,0.625,1.0,1.0,0.0,0.0,0.625,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
permutation_reverse -> partitioning_by_offset_offset_1,0.6,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
permutation_reverse -> reindexing_rotate_k_-1,0.3375,0.625,0.2917,0.2917,0.0,0.0,0.625,0.2917,0.0,0.0,0.0,0.0,1.0,0.6667,0.6667,0.6667,0.6667,0.3333,0.3333,0.0,0.3333,0.6667,0.0,0.6667,0.6667,0.6667,0.6667,0.3333,0.3333,0.0,0.3333,0.6667,0.0
reindexing_rotate_k_-1,0.9375,0.875,0.9583,0.9583,1.0,0.0,0.875,0.9583,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,1.0
reindexing_rotate_k_-1 -> iteration_duplicate,0.4,0.625,1.0,0.5,0.0,0.5,0.625,1.0,0.5,0.0,0.5,0.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0
reindexing_rotate_k_-1 -> partitioning_by_offset_offset_0,0.35,0.875,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
reindexing_rotate_k_-1 -> partitioning_by_offset_offset_1,0.1,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reindexing_rotate_k_-1 -> permutation_reverse,0.1,0.25,1.0,0.0,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
reindexing_rotate_k_1,0.5781,0.4375,0.5938,0.5938,0.75,0.0,0.4375,0.5938,0.5,0.75,0.5,0.75,1.0,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.75,0.75
reindexing_rotate_k_1 -> extension_append_boundary_side_last,0.8,0.875,0.9375,0.5,1.0,0.5,0.875,0.9375,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0
reindexing_rotate_k_1 -> iteration_duplicate,0.65,0.125,1.0,1.0,1.0,0.0,0.125,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
reindexing_rotate_k_1 -> partitioning_by_offset_offset_0,0.4,0.25,0.5,0.0,1.0,0.5,0.25,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5
reindexing_rotate_k_1 -> partitioning_by_offset_offset_1,0.525,0.5625,1.0,0.5,0.5,0.5,0.5625,1.0,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
reindexing_rotate_k_1 -> permutation_reverse,0.75,0.75,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.75,0.0,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.75,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.75,1.0,1.0
